@RELATION logsUrl

@ATTRIBUTE http_reply_code { 304,200,204,302,0,301,404 }
@ATTRIBUTE http_method { POST,GET,HEAD }
@ATTRIBUTE duration_milliseconds REAL
@ATTRIBUTE content_type_MCT { audio,video,text,application,null,image }
@ATTRIBUTE content_type { application/x-rpm,application/json,application/vnd.google.safebrowsing-chunk,application/x-javascript,text/javascript,text/xml,application/x-font-woff,application/vnd.google.safebrowsing-update,application/javascript,application/xml,image/gif,video/x-flv,text/html,image/jpg,image/jpeg,application/x-redhat-package-manager,application/ocsp-response,text/x-cross-domain-policy,application/pkix-crl,application/x-font-otf,application/x-gzip,image/svg+xml,image,null,image/png,text/css,application/octet-stream,application/x-shockwave-flash,audio/mpeg,text/plain }
@ATTRIBUTE server_or_cache_address { 91.189.92.202,90.84.59.17,90.84.53.9,91.142.221.12,90.84.53.49,173.194.34.233,173.194.34.250,199.27.76.193,77.67.30.34,81.52.160.41,5.153.13.126,209.18.117.91,50.18.210.131,37.140.197.19,93.184.22.111,54.243.118.43,91.189.95.83,91.225.248.80,54.240.18.219,87.248.121.19,155.210.135.75,31.186.225.23,62.97.112.45,173.194.66.95,98.137.80.32,173.194.34.247,173.194.34.224,108.160.162.97,212.119.24.114,198.60.236.4,176.34.248.5,173.252.100.27,54.240.186.10,173.194.34.252,90.84.53.18,107.20.209.197,90.84.53.64,173.194.34.249,54.240.186.13,95.131.12.203,188.121.36.239,94.245.70.68,199.7.55.72,173.194.34.226,108.160.163.49,68.232.35.229,208.43.111.194,86.58.179.98,131.246.123.4,213.0.95.36,90.84.53.83,173.194.34.227,212.119.24.105,94.245.117.52,79.125.9.92,173.194.34.248,54.240.186.20,87.248.20.253,90.84.53.66,90.84.53.50,69.171.247.29,54.240.186.22,92.43.22.96,92.61.41.215,90.84.59.72,217.110.59.24,95.131.12.202,193.110.12.196,91.189.88.33,176.9.145.180,54.240.186.7,174.129.216.23,173.194.34.228,213.201.83.164,66.219.34.171,69.147.83.199,81.30.148.6,94.23.84.229,212.96.161.234,90.84.53.32,199.59.148.147,184.72.236.84,207.171.14.112,93.184.220.29,108.160.16.108,91.199.122.51,54.235.136.75,77.95.152.178,88.191.127.22,204.45.82.194,173.194.34.238,62.73.184.149,91.189.92.191,173.194.30.55,54.225.200.12,213.4.97.242,194.106.18.94,216.87.32.148,173.194.34.251,23.38.17.224,68.232.35.139,212.27.60.27,192.168.4.4,217.163.21.36,54.243.90.228,93.184.221.13,198.151.161.47,5.39.69.75,204.51.94.204,90.84.53.48,68.232.34.163,64.12.106.8,81.26.166.11,94.23.92.180,62.73.184.134,195.81.202.105,188.93.77.68,66.196.66.156,173.194.34.232,80.172.232.16,173.194.34.225,92.43.16.18,90.84.53.80,213.0.95.4,54.246.113.36,108.160.16.102,54.225.220.46,91.121.155.13,195.219.3.78,173.194.34.237,77.234.44.56,91.216.63.241,108.160.163.35,213.99.54.20,173.194.34.235,212.211.132.32,88.198.50.133,2.16.43.231,66.235.13.118,130.117.88.22,150.214.5.135,173.194.78.94,91.189.91.13,80.76.149.146,68.232.35.121,212.96.161.250,8.27.153.126,217.163.21.40,149.126.72.50,92.52.96.89,50.23.216.69,88.221.9.244,54.240.186.19,173.194.78.99,77.234.44.91,90.84.53.25,85.17.122.228,54.240.18.243,134.0.11.136,74.125.10.183,173.194.66.82,79.125.10.19,176.9.71.202,50.97.35.217,8.20.213.76,195.20.242.89,173.194.34.229,173.194.66.191,141.101.125.10,90.84.53.57 }
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE squid_hierarchy { DEFAULT_PARENT,DIRECT }
@ATTRIBUTE bytes REAL
@ATTRIBUTE url { google,xda-developers,superdeporte,estampas,msn,mundodeportivo,adlooxtracking,facebook,360yield,co,s-msn,phpjabbers,2mdn,canonical,aqualogy,lasprovincias,xatakandroid,zedo,flashscore,ubuntu,zataz,yimg,amgdgt,corbipiquer,ligatus,scanscout,redintelligence,linkedin,godaddy,omnigroup,microsoft,ceipmsn,wordreference,rubiconproject,blogger,thawte,twimg,elpais,advertising,dropbox,barilliance,valencianadealuminio,pubmatic,scorecardresearch,googleusercontent,canalplus,adrcdn,sport,creativecdn,elmundo,adroll,armitexnology,reparacion-mac,atemda,elconfidencial,windowsupdate,bittorrent,miui,medibuntu,licdn,images-amazon,ovh,hostirian,twitter,derechoderedes,advanseads,virtualbox,googleapis,blogspot,weborama,mnmstatic,el-mundo,levante-emv,doubleclick,launchpad,digicert,grooveshark,google-analytics,codigobarras,tubemogul,dropboxusercontent,googlesyndication,axesor,avast,linuxmint,unizar,yahoo,elcorteingles,newtentionassets,extensionfactory,crsspxl,triggit,qservz,netliga,googlecode,k-tuin,cdn-apple,yieldmanager,2o7,addthis,254a,cloudfront,populetic,unitronics,domestika,uni-kl,avg,disqus,valencia,noaa,sociomantic,yieldbuild,scandichotels,htcspain,adnxs,fbcdn,exponential,php,marca,gravatar,betrad,proxad,facilware,wp,ahorro,desmotivado,vandalimg,serving-sys,androidpit,sourceforge,programmersheaven,performgroup,pfsense,debian,apple,gstatic,xiti,adform,cybdani,epimg,smartadserver,youtube,verisign,giac,ideal }
@ATTRIBUTE client_address { 10.159.219.11,10.159.170.7,10.159.48.41,10.159.39.199,10.159.86.208,10.159.163.10,10.159.49.111,10.159.52.182,10.159.252.13,10.159.253.15,10.159.159.13,10.159.113.20,10.159.76.30,10.159.165.20,10.159.154.21,10.159.201.10,192.168.4.4,10.159.201.18,10.159.147.1,10.159.46.201,10.159.131.25,10.159.10.60,10.159.86.22,10.159.85.3,10.159.135.18,10.159.188.11,10.159.20.83,10.159.93.13,192.168.20.242,10.159.213.23,10.159.69.127,10.159.170.18,10.159.79.125,10.159.13.68,10.159.115.15,10.159.118.12,10.159.207.18,10.159.22.252,10.159.3.233,10.159.57.223,10.159.194.18,10.159.80.182,10.159.74.184,10.159.241.22,10.159.80.136,10.159.80.214,10.159.131.11,10.159.144.61,10.159.19.104,10.159.232.20,10.159.91.60,10.159.155.5,10.159.19.83 }
@ATTRIBUTE label { deny,allow }

@DATA

200, GET, 877, application, application/octet-stream, 8.27.153.126, 8:30:13, DIRECT, 1529759, windowsupdate, 192.168.4.4, deny
200, GET, 122, text, text/javascript, 173.194.34.250, 8:30:13, DIRECT, 962, doubleclick, 192.168.4.4, deny
204, GET, 171, text, text/html, 192.168.4.4, 8:30:14, DEFAULT_PARENT, 530, youtube, 10.159.155.5, deny
204, GET, 111, text, text/html, 173.194.34.228, 8:30:14, DIRECT, 546, youtube, 192.168.4.4, deny
200, GET, 335, image, image/gif, 66.219.34.171, 8:30:16, DIRECT, 727, pfsense, 10.159.155.5, deny
200, GET, 1648, video, video/x-flv, 74.125.10.183, 8:30:16, DIRECT, 1782199, youtube, 192.168.4.4, deny
200, GET, 397, text, text/html, 173.194.34.250, 8:30:16, DIRECT, 1411, doubleclick, 192.168.4.4, deny
200, GET, 402, text, text/html, 192.168.4.4, 8:30:16, DEFAULT_PARENT, 1461, doubleclick, 10.159.155.5, deny
200, GET, 85, text, text/html, 192.168.4.4, 8:30:16, DEFAULT_PARENT, 544, doubleclick, 10.159.155.5, deny
302, GET, 144, null, null, 79.125.9.92, 8:30:17, DIRECT, 628, adroll, 192.168.4.4, deny
200, GET, 21, image, image/jpeg, 54.240.186.10, 8:30:22, DIRECT, 4565, images-amazon, 10.159.19.104, deny
200, GET, 49, image, image/jpeg, 54.240.186.7, 8:30:22, DIRECT, 3783, images-amazon, 10.159.19.104, deny
200, GET, 24, image, image/jpeg, 54.240.186.22, 8:30:22, DIRECT, 2272, images-amazon, 10.159.19.104, deny
200, GET, 24, image, image/jpeg, 54.240.186.19, 8:30:22, DIRECT, 4328, images-amazon, 10.159.19.104, deny
204, GET, 105, text, text/html, 192.168.4.4, 8:30:24, DEFAULT_PARENT, 596, youtube, 10.159.155.5, deny
200, GET, 762, application, application/octet-stream, 192.168.4.4, 8:30:24, DEFAULT_PARENT, 106961, windowsupdate, 10.159.76.30, deny
304, GET, 64, null, null, 192.168.4.4, 8:30:54, DEFAULT_PARENT, 309, ubuntu, 10.159.207.18, deny
200, GET, 594, application, application/octet-stream, 204.45.82.194, 8:30:54, DIRECT, 18019, linuxmint, 192.168.4.4, deny
404, GET, 106, text, text/html, 88.191.127.22, 8:30:55, DIRECT, 274, medibuntu, 192.168.4.4, deny
404, GET, 107, text, text/html, 88.191.127.22, 8:30:55, DIRECT, 274, medibuntu, 192.168.4.4, deny
404, GET, 103, text, text/html, 192.168.4.4, 8:30:56, DEFAULT_PARENT, 0, launchpad, 10.159.207.18, deny
200, GET, 174, application, application/octet-stream, 204.45.82.194, 8:30:56, DIRECT, 10855, linuxmint, 192.168.4.4, deny
200, GET, 312, application, application/x-javascript, 192.168.4.4, 8:31:03, DEFAULT_PARENT, 6619, yieldbuild, 10.159.155.5, deny
404, GET, 371, text, text/html, 204.45.82.194, 8:31:03, DIRECT, 578, linuxmint, 192.168.4.4, deny
304, GET, 161, application, application/x-javascript, 192.168.4.4, 8:31:06, DEFAULT_PARENT, 424, facebook, 10.159.155.5, deny
200, GET, 314, application, application/x-javascript, 216.87.32.148, 8:31:06, DIRECT, 4659, hostirian, 192.168.4.4, deny
204, GET, 70, image, image/gif, 173.194.78.94, 8:31:07, DIRECT, 427, google, 192.168.4.4, deny
204, GET, 72, image, image/gif, 192.168.4.4, 8:31:07, DEFAULT_PARENT, 477, google, 10.159.46.201, deny
304, GET, 69, null, null, 173.194.78.99, 8:31:10, DIRECT, 269, google, 192.168.4.4, deny
304, GET, 70, null, null, 192.168.4.4, 8:31:10, DEFAULT_PARENT, 319, google, 10.159.155.5, deny
200, GET, 25, image, image/jpeg, 54.240.186.13, 8:31:44, DIRECT, 3917, images-amazon, 10.159.19.104, deny
200, GET, 26, image, image/jpeg, 54.240.186.19, 8:31:44, DIRECT, 1930, images-amazon, 10.159.19.104, deny
304, GET, 191, text, text/css, 195.219.3.78, 8:32:11, DIRECT, 401, el-mundo, 192.168.4.4, allow
200, GET, 65, image, image/gif, 192.168.4.4, 8:32:11, DEFAULT_PARENT, 370, elmundo, 10.159.131.11, allow
304, GET, 201, application, application/pkix-crl, 94.245.70.68, 8:34:20, DIRECT, 286, microsoft, 192.168.4.4, allow
200, GET, 2059, text, text/html, 173.252.100.27, 8:34:22, DIRECT, 114559, facebook, 192.168.4.4, allow
200, GET, 193, image, image/jpeg, 90.84.59.17, 8:37:32, DIRECT, 1380, fbcdn, 10.159.20.83, deny
200, GET, 67, application, application/x-javascript, 192.168.4.4, 8:38:06, DEFAULT_PARENT, 9858, fbcdn, 10.159.20.83, deny
200, POST, 414, application, application/x-javascript, 192.168.4.4, 8:38:27, DEFAULT_PARENT, 1251, facebook, 10.159.20.83, deny
200, GET, 48, application, application/x-javascript, 192.168.4.4, 8:38:27, DEFAULT_PARENT, 953, fbcdn, 10.159.20.83, deny
302, GET, 116, text, text/html, 192.168.4.4, 8:41:45, DEFAULT_PARENT, 1747, google, 10.159.144.61, deny
200, GET, 111, text, text/javascript, 77.95.152.178, 8:41:45, DIRECT, 38610, axesor, 192.168.4.4, deny
200, GET, 216, text, text/javascript, 192.168.4.4, 8:58:18, DEFAULT_PARENT, 889, google, 10.159.19.83, deny
200, GET, 62, image, image/png, 173.194.34.226, 8:58:19, DIRECT, 9064, googleapis, 192.168.4.4, deny
200, GET, 118, image, image/png, 192.168.4.4, 8:58:19, DEFAULT_PARENT, 20989, googleapis, 10.159.19.83, deny
200, GET, 77, image, image/gif, 86.58.179.98, 8:58:22, DIRECT, 711, adform, 192.168.4.4, deny
200, GET, 271, text, text/html, 192.168.4.4, 8:58:25, DEFAULT_PARENT, 4632, yahoo, 10.159.52.182, deny
200, GET, 63, image, image/gif, 90.84.53.64, 8:58:25, DIRECT, 419, scorecardresearch, 192.168.4.4, deny
302, GET, 100, text, text/html, 192.168.4.4, 8:58:26, DEFAULT_PARENT, 909, doubleclick, 10.159.52.182, deny
200, GET, 55351, text, text/plain, 108.160.16.108, 8:58:33, DIRECT, 276, dropbox, 192.168.4.4, deny
