@RELATION logsUrl

@ATTRIBUTE http_reply_code { 200,204,404 }
@ATTRIBUTE http_method { PUT,GET,HEAD }
@ATTRIBUTE duration_milliseconds REAL
@ATTRIBUTE content_type_MCT { video,text,application,null,image }
@ATTRIBUTE content_type { image/jpeg,text/javascript,image,null,image/png,video/mp4,application/octet-stream,image/gif,application/x-shockwave-flash,video/x-flv,text/plain,text/html }
@ATTRIBUTE server_or_cache_address { 91.216.63.241,173.194.34.224,23.38.19.33,173.194.34.225,90.84.53.48,90.84.53.83,8.27.153.126,195.54.49.9,173.194.34.250,173.194.34.233,195.59.54.119,74.125.10.183,199.47.216.171,173.194.34.238,192.168.4.4 }
@ATTRIBUTE time_hh REAL
@ATTRIBUTE time_mm REAL
@ATTRIBUTE time_ss REAL
@ATTRIBUTE squid_hierarchy { DIRECT,DEFAULT_PARENT }
@ATTRIBUTE bytes REAL
@ATTRIBUTE url { google,ytimg,NONE://,atemda,serving-sys,mundodeportivo,windowsupdate,amazon,adform,gstatic,elpais,dropbox,youtube,doubleclick,rackcdn,54 }
@ATTRIBUTE client_address { 10.159.194.18,10.159.170.18,10.159.13.68,10.159.146.56,10.159.46.201,10.159.232.20,10.159.155.5,10.159.76.30,192.168.4.4 }

@DATA

200, GET, 1114, application, application/octet-stream, 192.168.4.4, 08, 30, 08, DEFAULT_PARENT, 106961, windowsupdate, 10.159.76.30
404, GET, 97, image, image/png, 173.194.34.233, 08, 30, 08, DIRECT, 2162, ytimg, 10.159.155.5
404, GET, 210, image, image/png, 173.194.34.225, 08, 30, 09, DIRECT, 2162, ytimg, 10.159.155.5
200, GET, 307, text, text/javascript, 173.194.34.250, 08, 30, 09, DIRECT, 962, doubleclick, 192.168.4.4
200, GET, 311, text, text/javascript, 192.168.4.4, 08, 30, 09, DEFAULT_PARENT, 1012, doubleclick, 10.159.155.5
204, GET, 179, text, text/html, 173.194.34.225, 08, 30, 09, DIRECT, 274, elpais, 192.168.4.4
204, GET, 182, text, text/html, 192.168.4.4, 08, 30, 09, DEFAULT_PARENT, 324, google, 10.159.155.5
200, GET, 64, text, text/html, 91.216.63.241, 08, 30, 09, DIRECT, 496, elpais, 192.168.4.4
200, GET, 69, text, text/html, 192.168.4.4, 08, 30, 09, DEFAULT_PARENT, 576, elpais, 10.159.146.56
204, GET, 82, video, video/x-flv, 173.194.34.233, 08, 30, 14, DIRECT, 738, youtube, 192.168.4.4
204, GET, 85, video, video/x-flv, 192.168.4.4, 08, 30, 14, DEFAULT_PARENT, 788, youtube, 10.159.155.5
200, GET, 1178, video, video/x-flv, 74.125.10.183, 08, 30, 15, DIRECT, 1782186, youtube, 192.168.4.4
200, PUT, 191, text, text/plain, 195.59.54.119, 08, 33, 38, DIRECT, 210, 54, 192.168.4.4
200, GET, 248, application, application/x-shockwave-flash, 173.194.34.224, 09, 18, 36, DIRECT, 6527, youtube, 192.168.4.4
200, GET, 256, application, application/x-shockwave-flash, 192.168.4.4, 09, 18, 36, DEFAULT_PARENT, 6577, youtube, 10.159.13.68
200, GET, 383, video, video/x-flv, 90.84.53.48, 09, 29, 44, DIRECT, 1494025, serving-sys, 192.168.4.4
200, GET, 385, video, video/x-flv, 192.168.4.4, 09, 29, 44, DEFAULT_PARENT, 1494075, serving-sys, 10.159.232.20
200, GET, 1079, video, video/mp4, 23.38.19.33, 08, 42, 38, DIRECT, 2047116, adform, 192.168.4.4
200, GET, 1116, video, video/mp4, 192.168.4.4, 08, 42, 38, DEFAULT_PARENT, 2047166, adform, 10.159.170.18
200, GET, 395, application, application/octet-stream, 199.47.216.171, 09, 38, 34, DIRECT, 823, dropbox, 192.168.4.4
200, GET, 400, application, application/octet-stream, 192.168.4.4, 09, 38, 34, DEFAULT_PARENT, 873, dropbox, 10.159.194.18
200, GET, 284, application, application/x-shockwave-flash, 173.194.34.238, 09, 42, 17, DIRECT, 5005, youtube, 192.168.4.4
200, GET, 288, application, application/x-shockwave-flash, 192.168.4.4, 09, 42, 17, DEFAULT_PARENT, 5055, youtube, 10.159.46.201
204, GET, 55, text, text/html, 192.168.4.4, 08, 30, 13, DEFAULT_PARENT, 324, google, 10.159.155.5
200, GET, 1242, application, application/octet-stream, 192.168.4.4, 08, 30, 13, DEFAULT_PARENT, 41425, windowsupdate, 10.159.76.30
200, HEAD, 67, application, application/octet-stream, 8.27.153.126, 08, 30, 13, DIRECT, 380, windowsupdate, 192.168.4.4
200, HEAD, 69, application, application/octet-stream, 192.168.4.4, 08, 30, 13, DEFAULT_PARENT, 465, windowsupdate, 10.159.76.30
200, HEAD, 119, application, application/octet-stream, 8.27.153.126, 08, 30, 14, DIRECT, 380, windowsupdate, 192.168.4.4
200, HEAD, 122, application, application/octet-stream, 192.168.4.4, 08, 30, 14, DEFAULT_PARENT, 465, windowsupdate, 10.159.76.30
200, GET, 49, image, image/jpeg, 90.84.53.83, 10, 26, 09, DIRECT, 1838, mundodeportivo, 10.159.194.18
200, GET, 94, image, image/gif, 195.54.49.9, 10, 26, 09, DIRECT, 2286, NONE://, 192.168.4.4
200, GET, 94, null, null, 195.54.49.9, 10, 26, 09, DIRECT, 2286, gstatic, 192.168.4.4
200, GET, 94, image, image, 195.54.49.9, 10, 26, 09, DIRECT, 2286, rackcdn, 192.168.4.4
200, GET, 94, image, image, 195.54.49.9, 10, 26, 09, DIRECT, 2286, amazon, 192.168.4.4
200, GET, 94, image, image, 195.54.49.9, 10, 26, 09, DIRECT, 2286, atemda, 192.168.4.4
200, GET, 94, image, image, 195.54.49.9, 10, 26, 09, DIRECT, 2286, rackcdn, 192.168.4.4
