@RELATION logsUrl

@ATTRIBUTE http_reply_code { 403,304,204,200,302,0,404,301 }
@ATTRIBUTE http_method { POST,GET,HEAD }
@ATTRIBUTE duration_milliseconds REAL
@ATTRIBUTE content_type_MCT { video,text,binary,application,null,image }
@ATTRIBUTE content_type { application/json,application/vnd.google.safebrowsing-chunk,application/x-javascript,text/javascript,text/xml,application/vnd.google.safebrowsing-update,application/javascript,application/xml,image/x-icon,image/gif,video/x-flv,text/html,image/jpeg,application/ocsp-response,application/pkix-crl,text/x-cross-domain-policy,binary/octet-stream,null,image/png,image/vnd.microsoft.icon,text/css,application/octet-stream,application/x-shockwave-flash,text/plain }
@ATTRIBUTE server_or_cache_address { 89.207.18.129,90.84.53.49,173.194.34.250,173.194.34.233,218.153.11.20,204.193.144.15,54.240.186.39,193.110.12.215,93.184.22.111,91.216.63.240,187.45.193.152,91.189.95.83,82.144.103.45,216.87.32.156,173.194.66.95,173.194.34.224,77.234.43.54,82.165.215.16,173.234.240.90,204.193.144.31,5.9.122.194,199.16.156.8,195.219.3.80,54.240.186.10,77.234.44.53,1.11.11.11,90.84.59.10,173.194.34.252,90.84.53.18,184.73.217.30,90.84.53.64,77.234.43.53,54.240.186.59,173.194.34.249,54.240.186.13,90.84.53.19,188.121.36.239,90.84.53.24,94.245.70.68,199.7.55.72,204.145.83.230,69.172.216.55,195.81.202.119,130.117.88.12,178.236.7.217,54.240.18.187,173.194.34.226,54.24.186.13,77.234.44.90,188.125.82.155,173.194.34.227,91.189.92.150,69.147.76.50,79.125.9.92,173.194.34.248,63.140.42.97,108.161.18.192,69.171.246.16,93.184.220.20,90.84.53.66,130.117.88.8,90.84.53.50,84.246.209.35,54.240.186.22,69.171.247.29,178.236.6.247,66.220.152.19,8.254.94.254,195.210.112.15,193.110.12.196,213.201.83.138,54.240.186.7,92.123.167.13,173.194.34.228,108.160.16.113,195.81.202.115,176.32.98.118,66.219.34.171,77.234.44.54,212.118.226.80,90.84.53.32,199.59.148.147,199.59.148.247,66.235.148.65,91.189.91.15,63.245.217.39,199.16.156.40,176.32.108.187,195.54.48.9,108.160.16.108,66.77.55.200,195.219.3.76,173.79.223.25,213.162.208.18,88.191.127.22,195.54.49.9,212.85.38.109,204.45.82.194,50.57.4.218,193.110.128.19,195.53.213.16,54.240.18.239,173.194.34.238,77.234.43.52,90.84.53.40,91.189.92.191,46.226.45.69,66.211.109.13,74.125.175.23,54.243.202.10,212.155.198.30,109.72.86.5,216.87.32.148,77.234.44.85,128.30.52.37,23.38.17.224,68.232.35.139,66.155.9.250,192.168.4.4,91.189.92.181,91.189.92.177,46.228.164.11,93.184.221.13,74.125.225.23,91.216.195.3,216.93.180.161,90.84.53.48,77.238.191.16,94.245.70.76,173.194.34.232,173.194.34.225,8.18.46.24,95.172.94.43,95.172.94.53,82.199.80.141,130.117.88.23,208.92.218.168,108.160.16.102,23.21.114.16,195.219.3.78,173.194.34.237,178.79.185.126,91.216.63.241,8.18.46.27,173.208.100.21,2.16.43.231,77.234.42.82,78.31.12.120,90.84.53.65,173.194.78.94,68.232.34.133,207.198.113.22,173.194.34.239,66.211.181.17,68.232.35.121,212.96.161.250,8.254.93.254,8.27.153.126,90.84.53.82,76.74.254.123,68.232.35.119,204.193.144.11,108.160.16.109,95.172.69.18,68.67.185.184,54.240.186.19,66.211.109.24,208.92.218.173,94.245.12.179,173.194.78.99,108.160.162.39,11.00.11,95.172.94.54,108.160.163.50,184.173.16.109,193.110.12.197,195.210.112.12,74.125.10.183,108.160.162.37,85.13.190.205,66.155.9.238,173.194.34.229,54.240.186.15,54.240.186.95,91.189.92.176,184.173.16.110,54.240.186.2,108.160.163.47 }
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE squid_hierarchy { NONE,DIRECT,DEFAULT_PARENT }
@ATTRIBUTE bytes REAL
@ATTRIBUTE url { ebay,google,32,sanasecurity,googlesyndication,csafer,assoc-amazon,avast,linuxmint,imrworldwide,marc,w3,facebook,trackalyzer,histats,twitterfall,spotify,amazon,yahoo,canonical,12mlbe,atdmt,ubuntu,adsafeprotected,emprenemjunts,box,boardreader,godaddy,ytimg,pingdom,microsoft,cloudfront,cxense,shrinktheweb,twimg,tele-cinco,mozilla,avg,wordpress,elpais,valencia,dropbox,cucal,scorecardresearch,pro-market,elmundo,yieldbuild,communig8,webutation,adroll,vlint,adnxs,turn,iberia,gravatar,windowsupdate,betrad,telecinco,chitika,medibuntu,siteseguro,images-amazon,hostirian,wp,educateca,twitter,serving-sys,googleapis,googleadservices,pfsense,ebaystatic,hubimg,adinterax,awltovhc,gstatic,weborama,imgur,hubpages,el-mundo,pinterest,quantserve,qweb,youtube,caravanasosito,launchpad,doubleclick,revsci,verisign,rutarget,google-analytics }
@ATTRIBUTE client_address { 10.159.171.19,10.159.170.18,10.159.207.18,10.159.163.10,10.159.49.111,10.159.76.30,10.159.68.162,10.159.22.252,10.159.154.21,192.168.4.4,10.159.74.184,10.159.39.210,10.159.80.136,10.159.147.1,10.159.131.11,10.159.144.61,10.159.146.56,10.159.19.104,10.159.46.201,10.159.91.60,10.159.232.20,10.159.155.5,10.159.86.22,10.159.19.83 }
@ATTRIBUTE label { deny,allow,no label }

@DATA

200, GET, 1114, application, application/octet-stream, 192.168.4.4, "08:30:08", DEFAULT_PARENT, 106961, windowsupdate, 10.159.76.30, no label
404, GET, 97, image, image/png, 173.194.34.233, "08:30:08", DIRECT, 2162, ytimg, 10.159.155.5, no label
404, GET, 210, image, image/png, 173.194.34.225, "08:30:09", DIRECT, 2162, ytimg, 10.159.155.5, no label
200, GET, 307, text, text/javascript, 173.194.34.250, "08:30:09", DIRECT, 962, doubleclick, 192.168.4.4, no label
200, GET, 311, text, text/javascript, 192.168.4.4, "08:30:09", DEFAULT_PARENT, 1012, doubleclick, 10.159.155.5, no label
204, GET, 179, text, text/html, 173.194.34.225, "08:30:09", DIRECT, 274, google, 192.168.4.4, no label
204, GET, 182, text, text/html, 192.168.4.4, "08:30:09", DEFAULT_PARENT, 324, google, 10.159.155.5, no label
200, GET, 64, text, text/html, 91.216.63.241, "08:30:09", DIRECT, 496, elpais, 192.168.4.4, no label
200, GET, 69, text, text/html, 192.168.4.4, "08:30:09", DEFAULT_PARENT, 576, elpais, 10.159.146.56, no label
200, GET, 130, image, image/gif, 188.125.82.155, "08:30:09", DIRECT, 556, yahoo, 192.168.4.4, no label
200, GET, 173, image, image/gif, 192.168.4.4, "08:30:09", DEFAULT_PARENT, 606, yahoo, 10.159.46.201, no label
200, GET, 320, image, image/gif, 69.147.76.50, "08:30:09", DIRECT, 1244, yahoo, 192.168.4.4, no label
200, GET, 362, image, image/gif, 192.168.4.4, "08:30:09", DEFAULT_PARENT, 1294, yahoo, 10.159.46.201, no label
302, GET, 416, text, text/html, 63.245.217.39, "08:30:12", DIRECT, 508, mozilla, 192.168.4.4, no label
302, GET, 418, text, text/html, 192.168.4.4, "08:30:12", DEFAULT_PARENT, 558, mozilla, 10.159.46.201, no label
200, GET, 338, text, text/html, 173.194.34.233, "08:30:12", DIRECT, 28383, youtube, 192.168.4.4, no label
200, GET, 396, text, text/html, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 28433, youtube, 10.159.155.5, no label
204, GET, 100, text, text/html, 74.125.10.183, "08:30:13", DIRECT, 274, youtube, 192.168.4.4, no label
204, GET, 103, text, text/html, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 324, youtube, 10.159.155.5, no label
200, GET, 877, application, application/octet-stream, 8.27.153.126, "08:30:13", DIRECT, 1529759, windowsupdate, 192.168.4.4, no label
200, GET, 122, text, text/javascript, 173.194.34.250, "08:30:13", DIRECT, 962, doubleclick, 192.168.4.4, no label
200, GET, 124, text, text/javascript, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 1012, doubleclick, 10.159.155.5, no label
204, GET, 53, text, text/html, 173.194.34.225, "08:30:13", DIRECT, 274, google, 192.168.4.4, no label
204, GET, 55, text, text/html, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 324, google, 10.159.155.5, no label
200, GET, 1242, application, application/octet-stream, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 41425, windowsupdate, 10.159.76.30, no label
200, HEAD, 67, application, application/octet-stream, 8.27.153.126, "08:30:13", DIRECT, 380, windowsupdate, 192.168.4.4, no label
200, HEAD, 69, application, application/octet-stream, 192.168.4.4, "08:30:13", DEFAULT_PARENT, 465, windowsupdate, 10.159.76.30, no label
200, HEAD, 119, application, application/octet-stream, 8.27.153.126, "08:30:14", DIRECT, 380, windowsupdate, 192.168.4.4, no label
200, HEAD, 122, application, application/octet-stream, 192.168.4.4, "08:30:14", DEFAULT_PARENT, 465, windowsupdate, 10.159.76.30, no label
204, GET, 82, video, video/x-flv, 173.194.34.233, "08:30:14", DIRECT, 738, youtube, 192.168.4.4, no label
204, GET, 85, video, video/x-flv, 192.168.4.4, "08:30:14", DEFAULT_PARENT, 788, youtube, 10.159.155.5, no label
204, GET, 166, text, text/html, 173.194.34.228, "08:30:14", DIRECT, 480, youtube, 192.168.4.4, no label
204, GET, 171, text, text/html, 192.168.4.4, "08:30:14", DEFAULT_PARENT, 530, youtube, 10.159.155.5, no label
204, GET, 111, text, text/html, 173.194.34.228, "08:30:14", DIRECT, 546, youtube, 192.168.4.4, no label
204, GET, 115, text, text/html, 192.168.4.4, "08:30:14", DEFAULT_PARENT, 596, youtube, 10.159.155.5, no label
204, GET, 457, image, image/gif, 74.125.225.23, "08:30:14", DIRECT, 427, gstatic, 192.168.4.4, no label
204, GET, 464, image, image/gif, 192.168.4.4, "08:30:14", DEFAULT_PARENT, 477, gstatic, 10.159.155.5, no label
200, GET, 55583, text, text/plain, 108.160.162.37, "08:30:15", DIRECT, 276, dropbox, 192.168.4.4, no label
200, GET, 55585, text, text/plain, 192.168.4.4, "08:30:15", DEFAULT_PARENT, 326, dropbox, 10.159.131.11, no label
200, GET, 1082, application, application/octet-stream, 8.27.153.126, "08:30:15", DIRECT, 1529759, windowsupdate, 192.168.4.4, no label
200, GET, 1178, video, video/x-flv, 74.125.10.183, "08:30:15", DIRECT, 1782186, youtube, 192.168.4.4, no label
200, GET, 1272, video, video/x-flv, 192.168.4.4, "08:30:15", DEFAULT_PARENT, 1782236, youtube, 10.159.155.5, no label
200, GET, 1669, application, application/octet-stream, 192.168.4.4, "08:30:15", DEFAULT_PARENT, 1529809, windowsupdate, 10.159.76.30, no label
